Date,Open,High,Low,Close,Adj Close,Volume
2018-09-27,114.779999,114.910004,114.199997,114.410004,113.433426,19091300
2018-09-28,114.190002,114.570000,113.680000,114.370003,113.393768,21647800
2018-10-01,114.750000,115.680000,114.730003,115.610001,114.623184,18883100
2018-10-02,115.300003,115.839996,114.440002,115.150002,114.167114,20787200
2018-10-03,115.419998,116.180000,114.930000,115.169998,114.186935,16648000
2018-10-04,114.610001,114.760002,111.629997,112.790001,111.827248,34821700
2018-10-05,112.629997,113.169998,110.639999,112.129997,111.172890,29068900
2018-10-08,111.660004,112.029999,109.339996,110.849998,109.903809,29640600
2018-10-09,111.139999,113.080002,110.800003,112.260002,111.301773,26198600
2018-10-10,111.239998,111.500000,105.790001,106.160004,105.253845,61376300
2018-10-11,105.349998,108.930000,104.199997,105.910004,105.005981,63904300
2018-10-12,109.010002,111.239998,107.120003,109.570000,108.634735,47742100
2018-10-15,108.910004,109.480003,106.949997,107.599998,106.681557,32068100
2018-10-16,109.540001,111.410004,108.949997,111.000000,110.052536,31610200
2018-10-17,111.680000,111.809998,109.550003,110.709999,109.765007,26548200
2018-10-18,110.099998,110.529999,107.830002,108.500000,107.573868,32506200
2018-10-19,108.930000,110.860001,108.209999,108.660004,107.732506,32785500
2018-10-22,109.320000,110.540001,108.239998,109.629997,108.694221,26545600
2018-10-23,107.769997,108.970001,105.110001,108.099998,107.177284,43770400
2018-10-24,108.410004,108.489998,101.589996,102.320000,101.446625,63897800
2018-10-25,106.550003,109.269997,106.150002,108.300003,107.375580,61646800
2018-10-26,105.690002,108.750000,104.760002,106.959999,106.047012,55523100
2018-10-29,108.110001,108.699997,101.629997,103.849998,102.963562,55162000
2018-10-30,103.660004,104.379997,100.110001,103.730003,102.844597,65350900
2018-10-31,105.440002,108.139999,105.389999,106.809998,105.898293,51062400
2018-11-01,107.050003,107.320000,105.529999,105.919998,105.015892,33384200
2018-11-02,106.480003,107.320000,104.980003,106.160004,105.253845,37680200
2018-11-05,106.370003,107.739998,105.900002,107.510002,106.592323,27922100
2018-11-06,107.379997,108.839996,106.279999,107.720001,106.800529,24340200
2018-11-07,109.440002,112.239998,109.400002,111.959999,111.004333,37901700
2018-11-08,111.800003,112.209999,110.910004,111.750000,110.796135,25644100
2018-11-09,110.849998,111.449997,108.760002,109.570000,108.634735,32039200
2018-11-12,109.419998,109.959999,106.099998,106.870003,105.957787,33621800
2018-11-13,107.550003,108.739998,106.639999,106.940002,106.027191,35374600
2018-11-14,108.099998,108.260002,104.470001,104.970001,104.523613,39495100
2018-11-15,104.989998,107.800003,103.910004,107.279999,106.823784,38505200
2018-11-16,107.080002,108.879997,106.800003,108.290001,107.829491,33502100
2018-11-19,108.269997,108.559998,103.550003,104.620003,104.175102,44773900
2018-11-20,101.800003,102.970001,99.349998,101.709999,101.277473,64052500
2018-11-21,103.599998,104.430000,102.239998,103.110001,102.671516,28130600
2018-11-23,102.169998,103.809998,102.000000,103.070000,102.631691,13823100
2018-11-26,104.790001,106.629997,104.580002,106.470001,106.017235,32336200
2018-11-27,106.269997,107.330002,105.360001,107.139999,106.684380,29124500
2018-11-28,107.889999,111.330002,107.860001,111.120003,110.647461,46788500
2018-11-29,110.330002,111.120003,109.029999,110.190002,109.721413,28123200
2018-11-30,110.699997,110.970001,109.360001,110.889999,110.418434,33665600
2018-12-03,113.000000,113.419998,110.730003,112.089996,111.613327,34732800
2018-12-04,111.940002,112.639999,108.209999,108.519997,108.058510,45197000
2018-12-06,105.820000,109.239998,105.000000,109.190002,108.725670,49107400
2018-12-07,108.379997,109.449997,104.300003,104.820000,104.374245,45044900
2018-12-10,104.800003,107.980003,103.889999,107.589996,107.132462,40801500
2018-12-11,109.800003,110.949997,107.440002,108.589996,108.128212,42381900
2018-12-12,110.889999,111.269997,109.040001,109.080002,108.616135,36183000
2018-12-13,109.580002,110.870003,108.629997,109.449997,108.984558,31333400
2018-12-14,108.250000,109.260002,105.500000,106.029999,105.579102,47043100
2018-12-17,105.410004,105.800003,101.709999,102.889999,102.452454,56957300
2018-12-18,103.750000,104.510002,102.519997,103.970001,103.527863,49319200
2018-12-19,103.650002,106.879997,101.349998,103.690002,103.249054,68198200
2018-12-20,103.050003,104.309998,98.779999,101.510002,101.078323,70334200
2018-12-21,101.629997,103.000000,97.459999,98.230003,97.812279,111242100
2018-12-24,97.680000,97.970001,93.980003,94.129997,93.729706,43935200
2018-12-26,95.139999,100.690002,93.959999,100.559998,100.132362,51634800
2018-12-27,99.300003,101.190002,96.400002,101.180000,100.749725,49498500
2018-12-28,102.089996,102.410004,99.519997,100.389999,99.963089,38196300
2018-12-31,101.290001,102.400002,100.440002,101.570000,101.138069,33173800
2019-01-02,99.550003,101.750000,98.940002,101.120003,100.689987,35329300
2019-01-03,100.099998,100.190002,97.199997,97.400002,96.985802,42579100
2019-01-04,99.720001,102.510002,98.930000,101.930000,101.496536,44060600
2019-01-07,101.639999,103.269997,100.980003,102.059998,101.625984,35656100
2019-01-08,103.040001,103.970001,101.709999,102.800003,102.362839,31514400
2019-01-09,103.860001,104.879997,103.239998,104.269997,103.826584,32280800
2019-01-10,103.220001,103.750000,102.379997,103.599998,103.159431,30067600
2019-01-11,103.190002,103.440002,101.639999,102.800003,102.362839,28314200
2019-01-14,101.900002,102.870003,101.260002,102.050003,101.616028,28437100
2019-01-15,102.510002,105.050003,101.879997,105.010002,104.563438,31587600
2019-01-16,105.260002,106.260002,104.959999,105.379997,104.931862,29853900
2019-01-17,105.000000,106.629997,104.760002,106.120003,105.668724,28393000
2019-01-18,107.459999,107.900002,105.910004,107.709999,107.251953,37427600
2019-01-22,106.750000,107.099998,104.860001,105.680000,105.230591,32371300
2019-01-23,106.120003,107.040001,105.339996,106.709999,106.256210,25874300
2019-01-24,106.860001,107.000000,105.339996,106.199997,105.748375,23164800
2019-01-25,107.239998,107.879997,106.199997,107.169998,106.714249,31225600
2019-01-28,106.260002,106.480003,104.660004,105.080002,104.633141,29476700
2019-01-29,104.879997,104.970001,102.169998,102.940002,102.502243,31490500
2019-01-30,104.620003,106.379997,104.330002,106.379997,105.927612,49471900
2019-01-31,103.800003,105.220001,103.180000,104.430000,103.985909,55636400
2019-02-01,103.779999,104.099998,102.349998,102.779999,102.342918,35535700
2019-02-04,102.870003,105.800003,102.769997,105.739998,105.290337,31315100
2019-02-05,106.059998,107.269997,105.959999,107.220001,106.764046,27325400
2019-02-06,107.000000,107.000000,105.529999,106.029999,105.579102,20609800
2019-02-07,105.190002,105.589996,104.290001,105.269997,104.822327,29760700
2019-02-08,104.389999,105.779999,104.260002,105.669998,105.220634,21461100
2019-02-11,106.199997,106.580002,104.970001,105.250000,104.802422,18914100
2019-02-12,106.139999,107.139999,105.480003,106.889999,106.435448,25056600
2019-02-13,107.500000,107.779999,106.709999,106.809998,106.355782,18394900
2019-02-14,106.309998,107.290001,105.660004,106.900002,106.445404,21784700
2019-02-15,107.910004,108.300003,107.360001,108.220001,107.759789,26606900
2019-02-19,107.790001,108.660004,107.779999,108.169998,107.709999,18038500
2019-02-20,107.860001,107.940002,106.290001,107.150002,107.150002,21607700
2019-02-21,106.900002,109.480003,106.870003,109.410004,109.410004,29063200
2019-02-22,110.050003,111.199997,109.820000,110.970001,110.970001,27763200
2019-02-25,111.760002,112.180000,111.260002,111.589996,111.589996,23750600
2019-02-26,111.260002,113.239998,111.169998,112.360001,112.360001,21536700
2019-02-27,111.690002,112.360001,110.879997,112.169998,112.169998,21487100
2019-02-28,112.040001,112.879997,111.730003,112.029999,112.029999,29083900
2019-03-01,112.889999,113.019997,111.669998,112.529999,112.529999,23501200
2019-03-04,113.019997,113.250000,110.800003,112.260002,112.260002,26608000
2019-03-05,112.250000,112.389999,111.230003,111.699997,111.699997,19538300
2019-03-06,111.870003,112.660004,111.430000,111.750000,111.750000,17687000
2019-03-07,111.400002,111.550003,109.870003,110.389999,110.389999,25339000
2019-03-08,109.160004,110.709999,108.800003,110.510002,110.510002,22818400
2019-03-11,110.989998,112.949997,110.980003,112.830002,112.830002,26491600
2019-03-12,112.820000,113.989998,112.650002,113.620003,113.620003,26132700
2019-03-13,114.129997,115.000000,113.779999,114.500000,114.500000,35513800
2019-03-14,114.540001,115.199997,114.330002,114.589996,114.589996,30763400
2019-03-15,115.339996,117.250000,114.589996,115.910004,115.910004,54681100
2019-03-18,116.169998,117.610001,116.050003,117.570000,117.570000,31207600
2019-03-19,118.089996,118.440002,116.989998,117.650002,117.650002,37588700
2019-03-20,117.389999,118.750000,116.709999,117.519997,117.519997,28113300
2019-03-21,117.139999,120.820000,117.089996,120.220001,120.220001,29854400
2019-03-22,119.500000,119.589996,117.040001,117.050003,117.050003,33624500
2019-03-25,116.559998,118.010002,116.320000,117.660004,117.660004,27067100
2019-03-26,118.620003,118.709999,116.849998,117.910004,117.910004,26097700
2019-03-27,117.879997,118.209999,115.519997,116.769997,116.769997,22356700
